key,en,pl
RECIPIENT_DOES_NOT_EXIST,The recipient does not exist,Odbiorca nie istnieje
BANKING_TRANSACTION_PANEL,New banking transaction panel,Panel nowej transakcji bankowej
EMPTY_TRANSFER_RECIPIENT,The transfer recipient field is empty,Pole odbiorcy przelewu jest puste
EMPTY_TRANSACTION_TITLE,No transaction title,Pole tytułu przelewu jest puste
INCORRECT_TRANSFER_VALUE,The value of the transferred funds is incorrect,Wartość pola przelewanych środków jest nieprawidłowa
NEGATIVE_OR_ZERO_TRANSFER_VALUE,The value of the transferred funds is negative or equal to zero,Wartość pola przelewanych środków jest ujemna lub równa zeru
NOT_AVAILABLE_FUNDS_AMOUNT,You are trying to transfer more funds than are currently available,Próbujesz przelewać więcej środków niż jest obecnie dostępnych
SERVER_NOT_FOUND,Server was not found,Nie znaleziono serwera
SERVER_RESPONSE_ERROR,Response error,Błąd opowiedzi
INCORRECT_DATA_FORMAT,Incorrect data format,Niepoprawny format danych
DATA_ACCESS_ERROR,Data access error,Błąd dostępu do danych
LOGIN_ERROR,Login error,Błąd logowania
USERNAME_OR_PASSWORD_NOT_RECOGNIZED,Username or password not recognized,Nie rozpoznano nazwy użytkownika lub hasła
AUTHENTICATION_ERROR,Authentication error,Błąd uwierzytelniania
USER_NOT_RECOGNIZED,User not recognized,Nie rozpoznano użytkownika
FAILED_TO_ACCESS_USER_DATA,Accessing user data failed,Bład dostępu do danych użytkownika
ALL_USERS_ACCESS_ERROR,Users access error,Bład dostępu do użytkowników
FAILED_TO_ACCESS_USER_CHATS,Accessing user chats failed,Bład dostępu do czatów użytkownika
FAILED_TO_ACCESS_CHAT_METADATA,Accessing chat metadata failed,Bład dostępu do danych czatu
FAILED_TO_ACCESS_CHAT_HISTORY,Accessing chat history failed,Błąd dostępu do historii czatu
GROUP_CHAT_UPDATE_ERROR,Group chat update error,Bład aktualizacji czatu grupowego
FAILED_TO_CREATE_DIRECT_CHAT,Creating direct chat failed,Bład tworzenia czatu bezpośredniego
START_CHAT_MESSAGE,started the chat,rozpoczął czat
FAILED_TO_CREATE_GROUP_CHAT,Creating group chat failed,Bład tworzenia czatu grupowego
FAILED_TO_GET_BANK_BALANCE,Collecting bank account balance failed,Bład pozyskania danych o stanie konta bankowego
FAILED_TO_TRANSFER_FUNDS,Transfering funds failed,Bład transferu środków bankowych
FAILED_TO_ACCESS_TRANSACTION_HISTORY,Accessing transaction history failed,Bład dostępu do historii transakcji bankowych
FAILED_TO_ACCESS_NEWS_FEED,Accessing news feed failed,Bład systemu informacji
FAILED_TO_POST_NEWS,Failed to post news,Bład wysłania posta
ADD_POST,Create post,Dodaj post
CLEAR_KEY,Clear,Wyczyść
GROUP_CHAT_TITLE,Group chat title,Tytuł czatu grupowego
WRITE_YOUR_MESSAGE,Write your message...,Napisz wiadomość...
INFO_MESSAGE_GAME_NOT_STARTED,The game has not started yet,Gra jeszcze się nie zaczęła
CONFIRM_KEY,Confirm,Potwierdź
DELETE_POST_INFO,Do you want to delete this post?,Czy chcesz usunąć ten post?
FAILED_TO_OBTAIN_GAME_STATE,Failed to obtain game state,Błąd pozyksania statusu gry
MESSAGE_OVER_TEXT_CHARACTER_LIMIT,Message is over character limit,Wiadomość przekroczyła ograniczenie znaków
MESSAGE_COPIED,The message was copied,Wiadomość została skopiowana
TITLE_CANNOT_BE_EMPTY,The post title cannot be empty,Tytuł posta nie może być pusty
